2 50000
1.73204 0.718452 49.2702 
1.67907 1.17041 47.2995 
1.38938 1.13355 30.6994 
1.58952 1.15431 30.2777 
1.56716 1.09293 30.3101 
1.45482 1.34901 30.8594 
1.45206 1.19888 26.843 
1.43198 1.37973 26.8942 
1.24493 1.68881 23.7666 
1.33762 1.97041 15.9813 
1.25761 2.04068 8.99331 
1.20969 1.91852 9.86247 
1.14717 2.00504 9.81038 
0.999211 1.95131 9.56479 
0.997077 2.09044 9.47236 
0.800961 2.21613 7.90503 
0.996964 2.20169 6.36448 
1.27616 2.3495 6.90853 
1.27465 2.34578 3.8988 
1.32171 2.29845 4.43762 
1.21445 2.34998 4.54025 
1.33346 2.40409 4.03663 
1.27762 2.45102 3.39145 
1.50829 2.50943 3.70229 
1.57923 2.59909 2.98066 
1.5334 2.65936 2.27838 
1.50297 2.80745 2.64309 
1.2982 2.95026 2.57702 
1.18234 2.99567 1.15886 
1.07453 2.96181 1.10233 
1.14451 2.92199 1.03468 
1.45233 2.96566 2.19639 
1.09769 2.88754 2.79417 
1.30887 2.977 1.84344 
1.40114 2.76404 3.38491 
1.43654 2.93987 2.65001 
1.54095 2.87061 1.48296 
1.46926 3.0488 2.79315 
1.23975 3.15249 2.37304 
1.16575 3.15737 1.34673 
1.10906 3.10954 1.36563 
1.01892 3.15376 1.44342 
1.05142 3.14709 1.34611 
1.06425 3.07483 1.44619 
0.93377 3.14816 1.72303 
0.956849 3.10717 1.44157 
0.783715 3.19881 2.36099 
0.78409 3.24787 2.15418 
0.968608 3.30223 2.71715 
1.00729 3.42831 3.40931 
1.08867 3.44322 3.19687 
0.980396 3.40159 3.23374 
1.16841 3.35117 3.17013 
1.35042 3.29796 2.74808 
1.58823 3.1777 3.29343 
1.32469 3.30673 3.57362 
1.33636 3.26815 2.0562 
1.45394 3.202 2.13436 
1.40471 3.12204 1.79637 
1.34448 3.01645 1.70743 
1.20131 2.90228 1.80852 
1.08916 2.80676 1.56731 
1.11174 2.79057 1.09659 
1.13318 2.69137 1.74674 
1.11676 2.56029 2.64211 
1.32176 2.56926 2.66634 
1.46279 2.6096 2.40055 
1.37668 2.68831 2.16315 
1.38799 2.82774 2.24251 
1.13563 2.99145 3.05694 
1.00912 2.88267 1.7167 
1.09561 3.01681 1.93553 
1.26086 2.98707 1.2963 
1.5397 2.92068 2.18855 
1.51019 3.05009 2.02548 
1.38869 2.99035 1.45799 
1.38943 2.9905 0.981137 
1.32065 3.08819 1.56305 
1.25502 3.22246 2.26643 
1.03564 3.10123 2.6667 
