2 50
1.28709 2.95062 1.18773 
1.48602 3.01471 1.12445 
1.89025 2.91866 2.17175 
0.595848 2.74532 2.50538 
0.628056 2.5452 3.64034 
1.76214 3.30548 4.00255 
1.91624 3.30493 3.54286 
0.503204 2.99547 3.70674 
1.89801 2.8315 2.61672 
0.503596 3.02756 2.27368 
1.94252 2.72478 2.81814 
2.02094 2.65571 3.46702 
0.452813 2.79176 3.96829 
2.24184 2.92211 4.7098 
0.160523 2.89559 4.25548 
2.23354 2.98999 3.92041 
0.303948 2.71107 4.02992 
2.09063 3.15143 3.62648 
0.378044 2.75027 3.28399 
1.88345 3.15263 3.09152 
0.621861 3.05888 2.87291 
1.43223 2.70459 3.52441 
0.958387 3.16544 1.51152 
0.751062 3.22969 2.29237 
1.6431 2.65217 2.41914 
0.470374 3.17088 3.5373 
1.9224 2.72087 3.14616 
0.476224 3.21743 3.19778 
1.91884 2.63481 3.27786 
0.486679 3.2061 3.40318 
0.470554 3.17353 3.39956 
0.457786 3.13357 3.08527 
31 
