2 50000
0.685124 2.41606 3.487 
0.532415 2.30834 4.64047 
0.517637 2.8097 4.81248 
1.51484 3.33131 1.65556 
1.29367 3.15608 1.65999 
1.22735 2.9817 0.497501 
1.45457 3.08891 0.64575 
1.23981 2.75993 1.46381 
1.15143 3.41742 2.35416 
1.17372 3.46335 1.90761 
0.894472 2.40445 3.21104 
1.14948 3.62955 3.73938 
1.08742 3.75646 4.92984 
1.28818 3.87593 6.98799 
1.2734 3.24734 6.90168 
1.44323 3.56323 3.23264 
1.46345 3.58454 3.44586 
0.853335 3.37275 5.15183 
1.14574 2.60814 1.38836 
1.04401 3.5623 2.98204 
0.654646 2.979 4.28667 
1.68021 3.28858 1.90688 
1.23399 3.09423 2.38807 
1.33283 3.17224 0.541158 
0.76859 2.70615 1.14479 
1.18401 2.86929 1.67427 
1.02001 2.57622 1.62122 
0.880552 2.50335 2.23765 
1.16219 2.8923 2.6405 
0.710308 3.24706 0.730655 
0.692388 3.29289 0.982878 
0.368463 3.36326 2.19663 
0.282446 3.48305 3.3463 
0.12374 2.77685 5.83625 
1.87295 3.31515 3.96099 
0.0766849 2.66457 3.12693 
0.294736 2.86706 3.08431 
0.398913 3.12584 1.76047 
0.829602 3.26488 2.02702 
1.1721 2.72898 0.77908 
1.18769 2.96307 0.78096 
0.393632 2.92681 0.987061 
1.5771 3.21798 1.97073 
0.423151 2.76044 1.34765 
0.59883 2.97528 1.39224 
1.08282 3.36303 1.86607 
1.01203 3.09522 1.1893 
0.480467 2.98946 0.778323 
1.67332 2.8036 1.65176 
0.272187 3.18358 1.71103 
2.16345 2.73441 4.03753 
1.83666 3.23443 5.26278 
0.159769 2.87609 4.00043 
0.439583 2.90722 1.95568 
1.58055 3.13531 1.03391 
1.40729 2.69104 2.40901 
1.11336 2.82404 1.49071 
0.7547 3.44135 1.8235 
1.0143 3.1138 2.1157 
1.03016 3.21998 0.413624 
0.852585 3.29866 0.891056 
0.806113 3.39217 1.40214 
1.24834 2.56702 1.85483 
0.765984 3.44176 1.85866 
1.25196 3.11323 3.0023 
0.377814 3.14038 1.3508 
0.487052 2.74008 2.20776 
1.67827 3.10405 2.46302 
0.290212 3.05572 2.31103 
1.75826 2.82543 1.8546 
0.183471 3.12611 2.02591 
1.81786 2.83596 1.95739 
0.17502 3.29583 2.70289 
1.82465 2.68111 2.59038 
0.108994 3.29038 2.93297 
0.076861 3.28917 2.87025 
1.97628 2.83066 4.16695 
0.0716887 3.35104 4.35612 
2.05906 2.31974 6.91418 
-0.0518577 3.68213 6.77265 
0.281244 2.87092 8.60946 
2.21142 3.40737 5.12666 
-0.222818 2.56213 5.61788 
2.23723 3.47666 5.76811 
-0.239435 2.53122 5.90721 
0.384164 2.67687 6.56194 
0.817482 2.85911 2.35685 
1.10003 2.89656 0.627294 
0.82453 3.46623 1.93364 
0.674014 3.02017 2.48065 
1.22871 2.77209 0.940944 
1.26731 2.96359 0.661397 
0.739945 3.19809 0.606621 
1.35722 3.4753 2.65905 
0.717225 2.52518 2.48106 
1.28117 3.50584 2.47455 
1.9541 3.06548 5.95518 
