2 50000
1.54346 1.80979 12.513 
0.846294 4.13145 14.3457 
1.56991 2.56506 13.0042 
1.59887 2.44162 3.47052 
1.60005 2.49449 3.37626 
0.80415 3.38967 3.16459 
1.58733 2.45267 4.09792 
0.81258 3.47203 3.75762 
1.67328 2.44294 3.97309 
1.73461 2.44808 3.74819 
0.674889 3.00784 3.80375 
0.660276 3.00701 1.65711 
1.73864 2.87017 1.65327 
1.86673 2.88505 2.66706 
0.537888 3.01034 2.2411 
1.86023 2.92071 2.36695 
0.321206 2.84698 3.32825 
2.07543 2.95626 3.8588 
0.555498 2.50963 5.02256 
1.40568 3.3192 6.08911 
0.890403 2.43679 3.36018 
0.858736 2.44243 3.39051 
0.847171 2.38702 4.08322 
0.845352 2.35141 4.16623 
1.3715 3.52289 4.37423 
1.00531 2.80179 3.85931 
0.788122 2.70783 1.82351 
0.787425 2.70742 1.80008 
1.61342 3.20297 1.9522 
0.777621 2.93065 1.99238 
0.7392 2.93262 1.41527 
1.6581 2.92583 1.55475 
1.93907 2.96454 2.46741 
0.464767 2.94173 2.45847 
1.97028 3.1077 3.00177 
0.431811 2.77777 2.62805 
1.96554 3.13816 2.85844 
0.559978 2.72571 2.87731 
1.95172 3.16841 2.77178 
0.453496 2.74569 3.07131 
2.07401 3.10701 3.1318 
0.326849 2.71917 3.58263 
2.07382 3.20372 3.53609 
0.407669 3.00669 3.65324 
0.294903 3.02265 3.68108 
2.30279 2.94416 4.18723 
-0.207801 2.97151 6.25206 
-0.354369 2.98136 7.20415 
2.7498 2.9097 7.11843 
2.79588 2.92666 8.25308 
-0.38839 2.96138 7.76139 
-0.413849 2.98048 7.63835 
2.59184 2.84613 7.50503 
2.67388 2.81485 6.5115 
-0.271279 3.05894 6.49639 
2.66359 2.83033 6.94978 
-0.410227 3.17927 7.97241 
2.80023 2.69985 8.78411 
-0.255956 2.81086 8.25947 
2.6484 3.03146 7.04026 
-0.241121 2.8484 6.67891 
2.63572 3.07674 6.71403 
-0.230758 2.84572 6.59778 
2.47031 2.85107 6.21706 
-0.0660802 3.05639 5.25141 
2.46455 2.82831 5.00886 
-0.0566494 3.02902 5.63017 
-0.136262 3.03717 5.65175 
2.53254 2.84564 5.53626 
-0.131949 3.05283 5.44297 
2.29079 2.79056 5.72165 
0.106968 3.16329 4.96502 
2.29096 2.65587 5.04746 
0.115405 3.17517 5.19126 
-0.134487 3.1418 6.06549 
2.43889 3.03908 5.97119 
-0.0371507 2.87118 4.90738 
-0.0859766 2.89486 5.14084 
2.48496 3.04919 5.63088 
-0.0816883 2.85464 5.24144 
2.66294 3.00531 6.31074 
-0.262536 2.87987 6.25645 
2.6554 3.03694 6.91876 
2.69203 3.05752 6.71517 
-0.0422454 2.72297 7.01737 
2.4385 3.16022 5.26548 
-0.0362229 2.70133 5.26816 
-0.0439676 2.72313 5.34975 
2.03875 3.33445 7.3977 
2.23891 3.27965 5.10395 
0.234337 2.62885 4.64223 
2.15541 3.18905 5.49025 
0.083634 2.56623 5.28128 
2.38204 3.4743 6.86053 
0.153099 2.75991 6.70205 
-0.0819539 2.81442 5.4978 
2.48062 3.12688 5.72248 
2.63993 3.14656 7.46757 
-0.0976775 2.93466 6.4288 
2.48869 2.9714 5.92548 
2.50732 2.9927 5.33729 
0.0726804 2.99817 5.26037 
2.32676 2.91769 4.22968 
0.0787222 2.99006 4.4299 
2.15139 3.14641 4.61768 
0.0741904 2.78047 4.45575 
-0.00105955 2.77208 4.94858 
-0.0700315 2.76804 5.26178 
2.4694 3.19177 6.18965 
-0.062549 2.65855 6.10275 
2.45321 3.22465 6.36691 
2.45524 3.20099 5.49486 
2.48624 3.20367 5.75496 
-0.0840203 2.68335 5.6332 
2.48137 3.21637 5.71065 
-0.0761274 2.66728 5.87537 
2.47496 3.23201 5.6825 
-0.337343 2.56244 8.18973 
2.73743 3.36066 8.40454 
-0.177981 2.87085 8.30293 
2.57527 3.06433 6.17703 
2.59791 3.09156 6.1302 
-0.191812 2.81057 6.32437 
2.5875 3.1734 7.70531 
-0.488064 2.70754 8.7791 
2.67929 2.72493 9.47256 
-0.269384 3.13128 7.71711 
2.43904 3.00276 6.88826 
2.49548 3.01985 6.02033 
2.58265 3.00701 6.21156 
2.66867 2.91224 7.23873 
-0.0434232 2.80364 6.60246 
2.65287 3.12024 6.49359 
